CD_MUN,NM_MUN,eligible_area_ha_mapbiomas,urgency_5yr_index,reversal_risk,cost_per_ha,biodiversity_priority_index,Extinction risk score norm,carbon index norm
1504950,Nova Esperança do Piriá,98322.85442215129,0.0290433154401236,0.2,2109.9145086705203,5.0300905395226575e-05,0.0,0.39098202615630423
1501956,Cachoeira do Piriá,93928.8481315998,0.0529687493503421,0.5,2107.021445086705,0.0189539722217914,0.0,0.40427293014968746
1500602,Altamira,1131399.6637138196,1.0,1.0,2413.686184971098,0.999999560203385,1.0,0.5148751158523465
1505403,Ourém,35923.83246166393,0.0074389608139667,0.0,2061.784450867052,0.0062504795303028,0.0,0.6090054807013627
1504109,Magalhães Barata,4465.333639190244,0.0013731634498341,0.0,2059.154393063584,0.0178706853311623,0.0,0.5936409421255516
1507201,São Domingos do Capim,94493.51560786972,0.0071568023114492,0.1,2068.885606936416,0.0127121182984071,0.0,0.4411060644486458
1505437,Ourilândia do Norte,166577.90082705743,0.0419959768297841,0.0,2316.3740462427745,0.0628791257118857,0.02941176470588235,0.5489784235450377
1501105,Bagre,8441.882930855247,0.0109592575433684,0.0,2184.7396531791906,0.0035771770615511,0.0,0.4381490318249312
1505494,Palestina do Pará,73064.1659421251,0.0045806918998199,0.0,2073.8827167630056,0.0137430406038937,0.02450980392156863,0.283678889943456
1505486,Pacajá,643123.8491113662,0.4176180899321076,1.0,2099.1312716763005,0.1349414202353966,0.053921568627450976,0.43081780256429436
1502400,Castanhal,63643.92821594226,0.0045854882982485,0.0,2045.478092485549,0.0437392945063475,0.02450980392156863,0.6035326477618868
1508308,Viseu,165562.90027927156,0.0425689784295212,0.3,2097.55323699422,0.1483403434813868,0.0,0.49640514449532486
1503705,Itupiranga,414558.97026851535,0.2110309429784296,1.0,2092.819132947977,0.0982389192666763,0.1715686274509804,0.4807917369560531
1503754,Jacareacanga,180785.84105896033,0.168810067362281,0.8,2489.168843930636,0.5314186551969258,0.28921568627450983,0.4905289760776612
1508357,Vitória do Xingu,151126.67032684773,0.0131740913321353,0.0,2059.154393063584,0.2608105322917484,0.3872549019607843,0.41398540746764945
1506807,Santarém,126965.74809891148,0.0588490918189156,0.4,2157.518554913295,0.8858905165080309,0.32843137254901966,0.5800666681841768
1505502,Paragominas,635829.6823110792,0.1797450015976121,0.6,2104.12838150289,0.3521711155840637,0.25980392156862747,0.5678389282591368
1504208,Marabá,782281.2228439254,0.2298832601258508,1.0,2085.7179768786127,0.4629875131900849,0.33333333333333337,0.4873221194740334
1502905,Curuçá,12193.087177587842,0.0011912944255018,0.0,2056.261329479769,0.0075910285929648,0.0,0.5414443411615889
1505536,Parauapebas,103902.57022972812,0.0375017525282681,0.1,2121.2237572254335,0.8995759444872783,0.18137254901960786,0.36727496596926257
1501600,Bonito,40622.94971737191,0.0027597849940072,0.0,2057.313352601156,0.0017931145607751,0.0,0.6173616340725908
1502954,Eldorado do Carajás,269237.299828403,0.0072392006822697,0.0,2060.995433526012,0.0039573998687749,0.014705882352941176,0.47629800403954425
1502939,Dom Eliseu,266125.7499625544,0.1333510611635251,0.4,2083.3509248554915,0.0269542184402341,0.058823529411764705,0.48909818565821844
1505551,Pau D'Arco,98750.995469554,0.0185882254273671,0.0,2064.1515028901736,0.001709333099908,0.03431372549019608,0.6115964401241323
1500305,Afuá,715.8753105960348,0.0011250086234631,0.0,2160.41161849711,0.0508673360721153,0.0,0.5344441943156559
1502103,Cametá,19857.10242722262,0.0099452121989507,0.0,2097.027225433526,0.0945145057151193,0.0,0.6052034629230469
1500347,Água Azul do Norte,423292.1376717109,0.038169229477353,0.1,2083.876936416185,0.1024429217362988,0.053921568627450976,0.4825843867859845
1502152,Canaã dos Carajás,141638.0506816871,0.0376306084581748,0.1,2063.6254913294797,0.4699271504793829,0.1715686274509804,0.5026179564527388
1508001,Tomé-Açu,217124.3703747822,0.0872446825647419,0.3,2088.611040462428,0.0485496897207609,0.07843137254901962,0.5752164048468513
1503408,Inhangapi,18477.12634296666,0.0022040343944884,0.0,2050.212196531792,0.015471182241952,0.04901960784313726,0.6008258109577659
1508050,Trairão,154448.9917150797,0.1563584654916947,0.8,2147.7873410404623,0.0331403397800585,0.17647058823529413,0.5475156463883143
1508035,Tracuateua,38390.60749409172,0.0287385178297836,0.1,2051.264219653179,0.070502790663873,0.0,0.5235563322031179
1504703,Moju,300150.2366983284,0.1697162058810589,0.8,2078.616820809249,0.2256705424936752,0.18627450980392157,0.5929712329372504
1507805,Senador José Porfírio,180808.77390496884,0.1957284465815111,1.0,2253.778670520231,0.1379373757666364,0.18137254901960786,0.511444372122604
1506500,Santa Izabel do Pará,31252.344982343624,0.0023444486020812,0.0,2047.5821387283236,0.0664256799541242,0.0,0.5149536602676559
